  ,Name of Company,Holding Value in crores,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021
Madhushan Kela,Bombay Dyeing & Manufacturing Company Ltd.,64,1.7%,1.7%,1.7%,1.7%,-,-,-,-,-
Madhushan Kela,Kopran Ltd.,13,1.0%,1.0%,1.0%,1.0%,-,-,-,-,-
Madhushan Kela,Repro India Ltd.,41,3.3%,3.3%,3.6%,-,-,-,-,-,-
Madhushan Kela,Sangam (India) Ltd.,142,5.9%,5.9%,5.9%,1.1%,1.1%,1.1%,-,-,-
Madhushan Kela,Mkventures Capital Ltd.,532,74.4%,74.4%,74.4%,83.7%,83.7%,83.7%,83.7%,83.7%,-
Madhushan Kela,Choice International Ltd.,330,12.1%,12.1%,12.1%,12.1%,12.1%,12.1%,-,-,-
Madhushan Kela,Niyogin Fintech Ltd.,39,5.3%,5.3%,-,-,-,-,-,-,-
Madhushan Kela,Indostar Capital Finance Ltd.,73,2.5%,2.5%,2.5%,-,-,-,-,-,-
Madhushan Kela,CSL Finance Ltd.,-,-,-,-,-,-,1.2%,1.2%,1.2%,1.3%
Madhushan Kela,IRIS Business Services Ltd.,14,5.5%,5.5%,5.5%,5.5%,5.6%,5.6%,5.6%,5.6%,5.6%
Dolly Khanna,J Kumar Infraprojects Ltd.,49,1.0%,-,-,-,-,1.1%,-,-,-
Dolly Khanna,Savera Industries Ltd.,2,1.2%,-,-,-,-,-,-,-,-
Dolly Khanna,Zuari Industries Ltd.,11,1.2%,-,-,-,-,1.2%,1.2%,-,-
Dolly Khanna,Ujjivan Financial Services Ltd.,76,1.1%,-,-,-,-,-,-,-,-
Dolly Khanna,Prakash Industries Ltd.,36,1.2%,1.0%,-,-,-,-,-,-,-
Dolly Khanna,Deepak Spinners Ltd.,3,1.8%,1.7%,1.7%,1.2%,1.2%,1.2%,1.2%,1.4%,1.6%
Dolly Khanna,KCP Sugar & Industries Corporation Ltd.,6,1.4%,1.3%,-,-,-,-,-,-,-
Dolly Khanna,Mangalore Chemicals & Fertilizers Ltd.,19,1.3%,1.2%,1.3%,1.2%,1.2%,1.4%,1.5%,1.7%,1.5%
Dolly Khanna,Rajshree Sugars & Chemicals Ltd.,3,1.1%,1.1%,-,-,-,-,-,-,-
Dolly Khanna,Control Print Ltd.,19,1.3%,1.2%,1.2%,1.0%,1.0%,1.0%,1.0%,1.1%,1.0%
Dolly Khanna,Salzer Electronics Ltd.,12,1.0%,1.1%,-,-,-,-,-,-,-
Dolly Khanna,Prakash Pipes Ltd.,31,3.1%,3.2%,2.8%,2.7%,2.8%,2.8%,2.7%,2.4%,1.4%
Dolly Khanna,Talbros Automotive Components Ltd.,23,1.3%,1.6%,1.5%,1.0%,1.2%,1.2%,1.1%,1.1%,1.7%
Dolly Khanna,Chennai Petroleum Corporation Ltd.,175,1.3%,1.6%,1.8%,2.1%,2.2%,2.6%,3.3%,-,-
Dolly Khanna,KCP Ltd.,27,1.1%,1.4%,1.7%,2.3%,2.4%,3.0%,3.4%,3.7%,3.9%
Dolly Khanna,Simran Farms Ltd.,1,1.0%,1.4%,1.9%,2.0%,2.2%,2.2%,2.0%,2.0%,1.7%
Dolly Khanna,Pondy Oxides & Chemicals Ltd.,22,2.4%,3.1%,3.7%,3.1%,3.1%,3.4%,3.9%,3.6%,-
Dolly Khanna,Nitin Spinners Ltd.,-,-,1.2%,1.4%,1.3%,1.4%,1.5%,1.5%,1.8%,1.7%
Dolly Khanna,Som Distilleries & Breweries Ltd.,-,-,1.1%,1.3%,1.3%,-,-,-,-,-
Dolly Khanna,Monte Carlo Fashions Ltd.,-,-,1.9%,2.4%,2.1%,2.5%,2.5%,1.8%,-,1.0%
Dolly Khanna,Tinna Rubber and Infrastructure Ltd.,-,-,1.3%,1.3%,1.4%,1.6%,1.7%,1.8%,1.6%,1.7%
Dolly Khanna,National Oxygen Ltd.,1,1.2%,1.2%,1.2%,1.2%,1.2%,1.1%,1.1%,-,-
Dolly Khanna,Aries Agro Ltd.,-,-,-,-,-,-,1.1%,1.3%,1.3%,1.3%
Dolly Khanna,Butterfly Gandhimathi Appliances Ltd.,-,-,-,-,-,-,-,-,1.8%,1.4%
Dolly Khanna,Goa Carbons Ltd.,-,-,-,-,-,-,-,1.1%,1.4%,-
Dolly Khanna,Indo Tech Transformers Ltd.,-,-,-,-,-,-,-,-,1.2%,1.2%
Dolly Khanna,Manali Petrochemicals Ltd.,-,-,-,-,-,-,1.1%,1.1%,-,-
Dolly Khanna,Nahar Spinning Mills Ltd.,-,-,-,-,-,-,-,-,1.1%,-
Dolly Khanna,NCL Industries Ltd.,-,-,-,-,-,-,1.3%,1.5%,1.6%,1.7%
Dolly Khanna,New Delhi Television Ltd.,-,-,-,-,-,-,-,1.0%,1.3%,1.2%
Dolly Khanna,Polyplex Corporation Ltd.,-,-,-,-,-,-,1.2%,1.3%,1.3%,1.1%
Dolly Khanna,Rain Industries Ltd.,-,-,-,-,-,-,-,-,1.0%,1.2%
Dolly Khanna,RSWM Ltd.,-,-,-,-,-,-,-,1.1%,1.3%,1.2%
Dolly Khanna,Sharda Cropchem Ltd.,-,-,-,-,-,-,1.0%,1.2%,1.4%,-
Dolly Khanna,Southern Petrochemicals Industries Corporation Ltd.,-,-,-,-,-,-,-,-,1.1%,-
Dolly Khanna,Sandur Manganese & Iron Ores Ltd.,-,-,-,-,-,-,-,-,1.5%,-
Dolly Khanna,Khaitan Chemicals & Fertilizers Ltd.,-,-,-,-,-,-,-,-,1.0%,-
Dolly Khanna,Ajanta Soya Ltd.,-,-,-,-,1.3%,1.5%,1.5%,1.5%,1.5%,1.1%
Dolly Khanna,Rama Phosphates Ltd.,-,-,-,-,-,1.5%,1.7%,2.2%,2.6%,2.3%
Dolly Khanna,Suryoday Small Finance Bank Ltd.,-,-,-,-,-,-,-,1.2%,-,-
Ashish Kacholia,Tanfac Industries Ltd.,22,1.2%,-,-,-,-,-,-,-,-
Ashish Kacholia,SG Finserve Ltd.,27,1.1%,-,1.2%,-,-,1.1%,-,-,-
Ashish Kacholia,Brand Concepts Ltd.,12,1.4%,-,-,-,-,-,-,-,-
Ashish Kacholia,Updater Services Ltd.,46,2.0%,-,-,-,-,-,-,-,-
Ashish Kacholia,Zaggle Prepaid Ocean Services Ltd.,103,2.2%,1.7%,-,-,-,-,-,-,-
Ashish Kacholia,La Opala RG Ltd.,62,1.7%,1.6%,1.6%,1.6%,1.6%,1.6%,1.4%,1.1%,1.0%
Ashish Kacholia,Best Agrolife Ltd.,19,1.4%,2.3%,2.3%,2.3%,2.3%,1.5%,-,-,-
Ashish Kacholia,ADF Foods Ltd.,28,1.2%,2.8%,2.9%,2.9%,2.9%,2.9%,3.1%,3.2%,3.4%
Ashish Kacholia,NIIT Ltd.,-,-,1.9%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%
Ashish Kacholia,TARC Ltd.,-,-,2.2%,2.2%,2.2%,2.2%,1.9%,1.5%,1.5%,1.5%
Ashish Kacholia,SJS Enterprises Ltd.,-,-,3.2%,4.3%,4.4%,4.4%,3.8%,3.8%,3.8%,3.8%
Ashish Kacholia,Ador Welding Ltd.,88,4.4%,4.4%,4.4%,4.4%,4.4%,4.2%,3.2%,3.2%,3.2%
Ashish Kacholia,Agarwal Industrial Corporation Ltd.,56,4.0%,4.0%,3.9%,3.8%,3.8%,2.6%,-,-,-
Ashish Kacholia,Genesys International Corporation Ltd.,39,1.6%,1.6%,1.6%,1.6%,1.7%,1.7%,2.0%,2.0%,2.0%
Ashish Kacholia,Gravita India Ltd.,136,2.2%,2.2%,2.2%,2.2%,2.1%,2.0%,1.8%,1.4%,-
Ashish Kacholia,Sastasundar Ventures Ltd.,21,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%
Ashish Kacholia,PCBL Ltd.,205,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.3%,1.3%,1.3%
Ashish Kacholia,Repro India Ltd.,39,3.2%,3.2%,3.5%,3.6%,3.6%,3.6%,3.6%,-,-
Ashish Kacholia,Vaibhav Global Ltd.,87,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%
Ashish Kacholia,Xpro India Ltd.,97,3.9%,3.9%,4.3%,4.3%,4.5%,4.4%,3.9%,3.6%,2.9%
Ashish Kacholia,Fineotex Chemical Ltd.,127,2.8%,2.8%,2.8%,2.8%,2.6%,2.6%,1.9%,1.8%,-
Ashish Kacholia,Garware Hi-Tech Films Ltd.,180,4.2%,4.2%,4.2%,4.2%,4.0%,4.0%,3.7%,3.7%,3.3%
Ashish Kacholia,Shaily Engineering Plastics Ltd.,238,9.6%,9.6%,9.6%,10.6%,10.6%,10.6%,10.6%,10.6%,10.6%
Ashish Kacholia,Ugro Capital Ltd.,40,1.6%,1.6%,1.6%,-,-,-,-,-,-
Ashish Kacholia,HLE Glascoat Ltd.,47,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%
Ashish Kacholia,Safari Industries (India) Ltd.,203,2.1%,2.1%,2.3%,2.3%,2.6%,2.6%,2.7%,2.7%,2.7%
Ashish Kacholia,Carysil Ltd.,94,3.7%,3.7%,3.7%,3.7%,3.7%,3.7%,3.7%,3.8%,3.8%
Ashish Kacholia,Faze Three Ltd.,56,5.4%,5.4%,5.2%,5.2%,5.1%,5.1%,5.0%,4.7%,4.6%
Ashish Kacholia,Balu Forge Industries Ltd.,46,2.1%,2.2%,-,-,-,-,-,-,-
Ashish Kacholia,Dhabriya Polywood Ltd.,20,6.4%,6.4%,-,-,-,-,-,-,-
Ashish Kacholia,Universal Autofoundry Ltd.,19,8.5%,8.5%,-,-,-,-,-,-,-
Ashish Kacholia,Raghav Productivity Enhancers Ltd.,29,2.0%,2.0%,2.0%,2.0%,2.1%,-,-,-,-
Ashish Kacholia,Aditya Vision Ltd.,87,2.0%,2.0%,2.0%,1.1%,-,-,-,-,-
Ashish Kacholia,Shankara Building Products Ltd.,34,2.0%,2.0%,2.0%,2.0%,2.0%,2.0%,-,-,-
Ashish Kacholia,Yasho Industries Ltd.,98,4.2%,4.2%,4.2%,4.0%,3.8%,2.6%,2.6%,2.6%,2.4%
Ashish Kacholia,Likhitha Infrastructure Ltd.,18,1.8%,1.8%,1.8%,2.0%,2.0%,-,-,-,-
Ashish Kacholia,Stove Kraft Ltd.,29,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,-
Ashish Kacholia,Barbeque-Nation Hospitality Ltd.,32,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.1%,-,-
Ashish Kacholia,Ami Organics Ltd.,91,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,2.0%
Ashish Kacholia,NIIT Learning Systems Ltd.,170,2.2%,2.2%,-,-,-,-,-,-,-
Ashish Kacholia,Aeroflex Industries Ltd.,33,1.8%,1.8%,-,-,-,-,-,-,-
Ashish Kacholia,Bharat Bijlee Ltd.,-,-,-,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,1.6%
Ashish Kacholia,D-Link (India) Ltd.,-,-,-,-,2.1%,2.1%,3.3%,-,-,-
Ashish Kacholia,Goldiam International Ltd.,-,-,-,-,1.0%,1.0%,-,-,-,-
Ashish Kacholia,Igarashi Motors India Ltd.,-,-,-,-,-,-,-,-,1.3%,1.3%
Ashish Kacholia,IOL Chemicals and Pharmaceuticals Ltd.,-,-,-,-,-,2.0%,2.0%,2.0%,2.0%,2.0%
Ashish Kacholia,Mastek Ltd.,-,-,-,-,-,-,-,1.8%,2.0%,2.0%
Ashish Kacholia,Poly Medicure Ltd.,-,-,-,-,-,-,-,-,-,1.6%
Ashish Kacholia,Mold-Tek Packaging Ltd.,-,-,-,-,-,-,-,1.9%,3.1%,3.2%
Ashish Kacholia,Vishnu Chemicals Ltd.,-,-,-,-,-,-,-,3.4%,4.2%,4.8%
Ashish Kacholia,VRL Logistics Ltd.,-,-,-,-,-,-,-,1.4%,1.4%,1.4%
Ashish Kacholia,United Drilling Tools Ltd.,-,-,-,-,2.8%,2.8%,2.8%,2.8%,2.6%,2.6%
Ashish Kacholia,Kwality Pharmaceuticals Ltd.,-,-,-,-,-,-,-,3.4%,3.4%,3.1%
Ashish Kacholia,Mahindra Logistics Ltd.,-,-,-,-,-,-,-,-,-,1.1%
Ashish Kacholia,Beta Drugs Ltd.,148,12.5%,12.5%,12.5%,12.5%,12.4%,12.4%,12.4%,12.4%,12.4%
Ashish Kacholia,Inflame Appliances Ltd.,15,-,4.2%,-,4.2%,-,4.2%,4.2%,-,-
Ashish Kacholia,Megastar Foods Ltd.,-,-,-,-,1.1%,1.1%,1.0%,-,-,-
Ashish Kacholia,Creative Newtech Ltd.,-,-,-,-,2.7%,2.7%,2.7%,2.8%,2.8%,-
Ashish Kacholia,Sky Gold Ltd.,44,3.1%,-,-,-,-,-,-,-,-
Ashish Kacholia,Arvind Fashions Ltd.,-,-,-,1.1%,1.1%,1.1%,1.1%,-,-,-
Ashish Kacholia,MSTC Ltd.,-,-,-,-,-,-,-,-,1.1%,1.4%
Ashish Kacholia,Hindware Home Innovation Ltd.,-,-,-,-,-,1.3%,1.3%,1.3%,1.3%,1.6%
Ashish Kacholia,Knowledge Marine & Engineering Works Ltd.,46,2.8%,2.8%,2.8%,2.5%,2.3%,-,-,-,-
Ashish Kacholia,DU Digital Global Ltd.,23,-,5.0%,-,5.0%,-,5.0%,-,-,-
Ashish Kacholia,BEW Engineering Ltd.,22,-,5.4%,-,-,-,-,-,-,-
Ashish Kacholia,Venus Pipes & Tubes Ltd.,-,-,-,2.0%,-,-,-,-,-,-
Ashish Kacholia,Rainbow Childrens Medicare Ltd.,-,-,-,-,-,-,1.0%,-,-,-
Ashish Kacholia,Virtuoso Optoelectronics Ltd.,31,-,5.4%,-,5.4%,-,-,-,-,-
Ashish Kacholia,Systango Technologies Ltd,17,-,3.1%,-,1.6%,-,-,-,-,-
Ashish Kacholia,Vasa Denticity Ltd.,30,-,3.8%,-,-,-,-,-,-,-
Ashish Kacholia,Basilic Fly Studio Ltd.,22,2.4%,-,-,-,-,-,-,-,-
Ashish Kacholia,Saakshi Medtech & Panels Ltd.,16,3.5%,-,-,-,-,-,-,-,-
Sunil Singhania,Shriram Pistons & Rings Ltd.,168,2.3%,-,-,-,-,-,-,-,-
Sunil Singhania,Siyaram Silk Mills Ltd.,41,1.8%,1.9%,1.9%,2.1%,2.1%,2.1%,2.0%,2.0%,1.9%
Sunil Singhania,Technocraft Industries (India) Ltd.,112,2.7%,2.8%,2.8%,3.2%,3.0%,2.8%,2.8%,2.7%,2.6%
Sunil Singhania,Ethos Ltd.,84,1.2%,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%,-,-
Sunil Singhania,AGI Greenpac Ltd.,64,1.1%,1.4%,1.7%,1.9%,1.9%,1.9%,1.9%,1.9%,2.1%
Sunil Singhania,EMS Ltd.,35,1.4%,1.7%,-,-,-,-,-,-,-
Sunil Singhania,Ion Exchange (India) Ltd.,152,2.1%,2.8%,3.3%,3.3%,3.2%,3.1%,3.0%,2.8%,2.8%
Sunil Singhania,Rajshree Polypack Ltd.,-,-,4.3%,6.2%,7.6%,7.6%,7.6%,7.8%,7.8%,7.7%
Sunil Singhania,ADF Foods Ltd.,36,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.6%,1.7%
Sunil Singhania,Dynamatic Technologies Ltd.,144,2.9%,2.9%,2.9%,2.8%,2.6%,2.5%,2.5%,2.5%,2.1%
Sunil Singhania,HIL Ltd.,68,3.2%,3.2%,3.2%,3.1%,3.1%,3.1%,3.1%,2.7%,2.6%
Sunil Singhania,J Kumar Infraprojects Ltd.,130,2.7%,2.7%,2.7%,2.7%,2.7%,2.7%,2.7%,-,-
Sunil Singhania,Jubilant Pharmova Ltd.,109,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,-,-,-
Sunil Singhania,Mastek Ltd.,292,3.2%,3.2%,3.2%,3.2%,3.1%,2.8%,4.3%,4.2%,4.2%
Sunil Singhania,Rupa & Company Ltd.,90,4.2%,4.2%,4.1%,4.1%,4.1%,4.1%,4.1%,3.2%,2.0%
Sunil Singhania,Sarda Energy & Minerals Ltd.,163,2.2%,2.2%,2.2%,2.2%,2.1%,1.9%,1.8%,1.7%,1.6%
Sunil Singhania,TTK Healthcare Ltd.,25,1.1%,1.1%,-,-,-,-,-,-,-
Sunil Singhania,DCM Shriram Industries Ltd.,49,3.0%,3.0%,3.0%,3.0%,3.0%,3.0%,3.0%,3.0%,3.0%
Sunil Singhania,Carysil Ltd.,148,5.9%,5.9%,5.9%,6.1%,6.1%,6.1%,6.1%,6.2%,6.1%
Sunil Singhania,Stylam Industries Ltd.,67,2.5%,2.5%,2.5%,2.5%,2.4%,2.3%,1.9%,-,-
Sunil Singhania,PSP Projects Ltd.,37,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%
Sunil Singhania,HG Infra Engineering Ltd.,89,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%
Sunil Singhania,The Anup Engineering Ltd.,106,3.9%,3.9%,3.8%,4.1%,4.2%,4.8%,5.7%,5.7%,5.6%
Sunil Singhania,IIFL Securities Ltd.,155,3.3%,3.3%,3.2%,3.2%,3.2%,3.2%,3.2%,3.2%,3.1%
Sunil Singhania,Hindware Home Innovation Ltd.,128,4.4%,4.4%,4.9%,4.9%,4.9%,5.0%,4.8%,3.7%,3.7%
Sunil Singhania,Route Mobile Ltd.,255,2.6%,2.6%,2.6%,2.6%,2.6%,2.7%,2.8%,2.8%,2.8%
Sunil Singhania,CMS Info Systems Ltd.,64,1.0%,1.0%,1.0%,1.0%,1.0%,-,1.1%,-,-
Sunil Singhania,Dreamfolks Services Ltd.,42,1.5%,1.5%,1.8%,1.8%,1.8%,-,-,-,-
Sunil Singhania,Uniparts India Ltd.,57,2.2%,2.2%,2.3%,2.3%,-,-,-,-,-
Sunil Singhania,Polyplex Corporation Ltd.,-,-,-,-,-,-,-,1.4%,1.4%,1.4%
Sunil Singhania,Saregama India Ltd.,-,-,-,-,-,-,-,1.1%,1.4%,1.5%
Sunil Singhania,Surya Roshni Ltd.,-,-,-,-,-,-,-,1.2%,1.2%,1.4%
Sunil Singhania,Paras Defence and Space Technologies Ltd.,-,-,-,-,-,-,-,1.3%,-,1.5%
Sunil Singhania,Tracxn Technologies Ltd.,-,-,-,-,1.3%,1.6%,-,-,-,-
Anil Kumar Goel,LG Balakrishnan & Bros Ltd.,46,1.3%,-,1.3%,-,-,-,-,-,-
Anil Kumar Goel,Sportking India Ltd.,28,2.7%,2.2%,-,-,-,-,-,-,-
Anil Kumar Goel,Uttam Sugar Mills Ltd.,106,7.5%,7.4%,7.4%,7.2%,7.1%,7.1%,7.1%,7.1%,7.1%
Anil Kumar Goel,Indsil Hydro Power and Manganese Ltd.,4,2.6%,2.5%,2.5%,-,2.5%,2.5%,2.5%,2.3%,1.9%
Anil Kumar Goel,Panama Petrochem Ltd.,27,1.4%,1.5%,1.5%,1.5%,1.5%,1.5%,1.6%,1.6%,1.6%
Anil Kumar Goel,Star Paper Mills Ltd.,6,1.5%,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%
Anil Kumar Goel,Vardhman Special Steels Ltd.,20,1.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%
Anil Kumar Goel,GRP Ltd.,-,-,1.0%,1.0%,1.1%,1.5%,1.5%,1.5%,1.5%,1.6%
Anil Kumar Goel,Majestic Auto Ltd.,-,-,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%
Anil Kumar Goel,Dalmia Bharat Sugar and Industries Ltd.,206,6.4%,6.4%,6.1%,6.1%,6.1%,6.1%,6.1%,6.1%,6.1%
Anil Kumar Goel,DCM Ltd.,2,1.0%,1.0%,1.0%,-,-,-,-,-,-
Anil Kumar Goel,Dhampur Sugar Mills Ltd.,206,12.7%,12.7%,12.7%,12.7%,-,12.7%,12.7%,12.7%,12.7%
Anil Kumar Goel,Dwarikesh Sugar Industries Ltd.,104,6.7%,6.7%,6.7%,6.7%,6.7%,6.7%,6.7%,6.7%,6.7%
Anil Kumar Goel,KRBL Ltd.,300,4.3%,4.3%,4.4%,4.4%,4.1%,4.0%,4.0%,4.0%,4.0%
Anil Kumar Goel,Nahar Capital & Financial Services Ltd.,12,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.1%
Anil Kumar Goel,Nahar Spinning Mills Ltd.,78,6.7%,6.7%,6.7%,6.7%,6.6%,6.6%,6.6%,6.6%,6.1%
Anil Kumar Goel,Omaxe Ltd.,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Anil Kumar Goel,Precot Ltd.,22,5.3%,5.3%,5.3%,5.3%,5.3%,5.3%,5.3%,5.3%,5.3%
Anil Kumar Goel,Sarla Performance Fibers Ltd.,18,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%
Anil Kumar Goel,Triveni Engineering & Industries Ltd.,271,3.5%,3.5%,3.5%,3.5%,3.5%,2.7%,2.7%,2.7%,2.7%
Anil Kumar Goel,Vardhman Holdings Ltd.,70,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,5.9%
Anil Kumar Goel,Dhunseri Tea & Industries Ltd.,7,3.1%,3.1%,3.1%,3.1%,3.0%,2.9%,2.9%,2.9%,2.9%
Anil Kumar Goel,K G Denim Ltd.,2,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%
Anil Kumar Goel,South India Paper Mills Ltd.,15,9.1%,9.1%,9.1%,9.1%,11.4%,11.4%,11.4%,11.4%,11.0%
Anil Kumar Goel,Sri Lakshmi Saraswathi Textiles (Arni) Ltd.,1,5.5%,5.5%,5.5%,5.5%,5.5%,5.5%,5.5%,5.5%,5.5%
Anil Kumar Goel,Samtex Fashions Ltd.,1,5.7%,5.7%,5.7%,5.7%,5.7%,-,5.7%,6.0%,6.0%
Anil Kumar Goel,Austin Engineering Company Ltd.,1,2.0%,2.0%,2.0%,2.2%,2.2%,2.3%,2.3%,2.3%,2.3%
Anil Kumar Goel,TCPL Packaging Ltd.,209,10.3%,10.3%,10.4%,10.4%,10.2%,10.5%,10.5%,10.5%,9.0%
Anil Kumar Goel,Ador Fontech Ltd.,7,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%
Anil Kumar Goel,GK Consultants Ltd.,0,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%
Anil Kumar Goel,Avadh Sugar & Energy Ltd.,87,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.8%,6.7%
Anil Kumar Goel,Magadh Sugar & Energy Ltd.,33,3.7%,3.7%,3.7%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%
Anil Kumar Goel,DCM Nouvelle Ltd.,9,2.3%,2.3%,2.3%,2.3%,2.1%,2.1%,2.1%,2.1%,2.0%
Anil Kumar Goel,Dhampur Bio Organics Ltd.,115,12.7%,12.7%,12.7%,12.7%,12.7%,12.7%,-,-,-
Anil Kumar Goel,Amarjothi Spinning Mills Ltd.,9,-,6.8%,6.8%,6.8%,6.8%,6.8%,6.8%,6.8%,6.8%
Anil Kumar Goel,Nahar Poly Films Ltd.,-,-,-,-,-,-,-,-,-,1.2%
Anil Kumar Goel,Sanghvi Movers Ltd.,-,-,-,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%
Anil Kumar Goel,Sterling Tools Ltd.,-,-,-,-,-,-,-,1.4%,1.4%,1.4%
Anil Kumar Goel,Salasar Techno Engineering Ltd.,-,-,-,-,-,-,1.6%,2.5%,2.8%,2.8%
Anil Kumar Goel,Transpact Enterprises Ltd.,0,-,1.6%,-,-,-,-,-,-,-
Anil Kumar Goel,Crayons Advertising Ltd.,6,-,1.2%,-,-,-,-,-,-,-
Anil Kumar Goel,Oriana Power Ltd.,32,-,2.1%,-,-,-,-,-,-,-